,ERR2731369
DHFR,4.967546288447426
MTRF1L,11.953803494953975
SLC22A8,0.0
SSTR3,0.0
FXN,4.050421004888819
SLC4A10,0.09368065267390595
ADTRP,6.579104506214328
PLEKHH1,0.9752899440597054
USP39,55.24202781873328
ASZ1,0.0
APBB2,30.05679954314538
TSACC,0.305080767009739
YPEL1,2.587775899142224
PHACTR1,5.786033829880632
MORF4L2,531.7228326046227
CASC2,2.58323950569869
MAP7,1.6116150485081833
EPHB6,9.156818337190353
PMS1,11.731644774875187
MUC6,0.07059940404229863
TRIM62,13.262076655586998
SNAPC2,61.92088215039084
CCL3,0.0
SLC28A1,0.12316100605072162
CIB1,132.55121324969147
ZSCAN31,3.685326678378573
NRG4,0.5638105333031789
SLC10A7,3.3756919254919717
TMEM222,75.72104637181722
KIRREL2,0.0
PWWP2B,10.147617512330836
ZNF655,38.08092265590724
CCDC167,45.51143679884795
TAS2R4,2.137938219478249
TAS2R3,0.4112078639804293
CHADL,3.623708351545323
NEUROD4,0.0
PSMD5,54.784201781409216
IFITM1,614.2148151679982
OR1A2,0.0
HEATR3,6.449093672601942
ZNF687,16.589621109705064
ST3GAL4,47.43219076926443
SMIM12,15.615432789047487
POTEG,0.10047489086605696
RBMY1E,0.0
LPIN1,16.995188425878066
ZMYM1,9.91277312747126
HAGLROS,1.345437914539235
HAGLR,2.283130186415802
RGS20,1.5189857412922332
SNTG1,0.12366562639782917
PRKACB,18.06434776603366
CD163L1,0.34121221013104747
NFATC4,33.90261623718754
ARHGAP44,3.352076692216216
NELFCD,100.0804022802382
HINFP,13.208247948220079
PLEKHH3,21.94402374134337
KIR3DL2,0.0
C1orf216,41.476332408066796
DCTN2,205.38909224854254
STMN4,0.0
PRMT5,52.2574365468214
PRKAA1,46.15089054216352
VMO1,3.2382619288458807
HK3,2.8645124061414107
PAX6,0.0
HDLBP,322.09048945786225
RECQL5,10.974710348751042
SUPT5H,121.70017259761897
CREM,11.230271735390492
CNTNAP5,0.0
ATG13,54.3339824132487
CNEP1R1,30.422699095821795
ZNF560,0.0
TSPAN15,23.885403325959448
SH3D21,3.7380595054580383
EPB41L3,4.013947764247827
MAPT,1.0464709080303243
SNORA63C,1.7280147261162313
CCDC186,6.407635126823764
OSBPL9,107.60804232745298
ARRB1,14.856296354868293
ZNF774,0.6441129820079156
MYOM2,0.46331704742263785
TECPR2,14.41512516311087
LINC01137,16.10129488844041
MIER3,24.10219850467289
TNXB,16.54165103237129
BCL6,69.42538261469099
LDB2,22.07906281930807
CNN3,333.0744608333079
SCAMP2,121.55767107923329
GNL2,100.85014877580345
TIPARP,37.18266397755681
EGFL6,45.9137678350617
B4GALNT2,0.0
CHIA,0.0
MR1,10.855879875735841
BAG4,15.884189689349812
BACH2,4.1412616354501415
DNAJB2,78.36732409519017
TNFRSF11A,0.4711421149682723
C19orf48,54.266763830430975
GPR135,3.2324567983558934
CLEC7A,0.989595318562738
NDST4,0.0
GPRASP2,0.0
SLC12A1,0.6596958800368794
ZNF124,3.2136560068317195
AKR1C1,55.865828579367154
DBP,10.223158089345706
DAZL,0.7493437316682184
CDKL1,5.439641095947637
TNFRSF18,0.7315741014998081
EPHA10,0.0
MANEAL,1.9307380501166713
P2RX5,0.0
C9orf72,9.378182777879376
GART,31.04055511923827
USP28,21.289950039864785
PSD3,20.105163265474538
PIAS1,19.345478111189955
GNAS,420.78079193527304
AGAP6,1.0510291297655403
ITGAX,24.49144954785732
SLMAP,21.278709866224908
TCL1B,0.0
C1QTNF6,93.61011011420632
PPP4R3B,47.75311890198045
L3MBTL4,2.0185422592756557
RNF144A,55.23205725884841
SLC37A3,53.4029370018405
ALKBH5,77.38009451753129
NSUN2,88.96278955320446
LINC01343,0.0
LINC01685,0.0
DLG4,20.391679561498606
SMAD2,7.776955646903425
TBC1D3L,0.016980574779888624
FGD1,19.129119039256288
SMAD1,19.667288396423377
CAMK2G,24.81671914359774
KIR2DL1,0.0
RASL10A,0.0
MMS19,70.80117148541001
XRCC6,391.47594148329017
OXCT2P1,0.5019288894040496
PPIEL,7.084755870591751
EML1,28.575920360704874
WDR60,22.62113697499063
ZDHHC18,27.281053896076433
SNORA55,10.7401791188903
LIMD2,16.062903805124616
CXCL11,0.4607257716171499
NCK1,28.595145095859138
PPIE,23.702656711870016
NPL,9.581039324777109
ECEL1,0.5519294684251426
RXFP1,0.7273273095938098
TRIT1,10.86751651952243
ZNF627,13.354142201370522
OR2T12,0.0
OR4C16,0.0
TSPOAP1,4.116886214207806
ASMTL,30.03754828723965
ATF6B,16.766546540014673
OGDHL,0.2206334591824818
OR2J2,0.0
RAET1G,3.5431814992887603
